window_years,leverage,protection,rebalance,vrp_mode,n,cagr_median,cagr_p5,cagr_p25,cagr_p75,cagr_p95,cagr_mean,mdd_median,mdd_p95,p_ruin,tw_p5,tw_median,median_logwealth
20,1.0,none,daily,none,221,0.0861495895573531,0.0604444761057885,0.0768873745377567,0.0966133375812126,0.1078510365325131,0.08588556289247835,0.5525024106682099,0.5525024106682104,0.0,3.234139017016173,5.2214707373580005,1.652779112662067
20,2.0,none,daily,none,221,0.1043548176191317,0.0652167174028566,0.0887917264707345,0.1397487369844237,0.1599567636333845,0.11080320826877751,0.8642643066095179,0.8642643066095187,0.0,3.538013387267916,7.286629311808245,1.9860410675998383
20,3.0,none,daily,none,221,0.0821240501335009,0.0317032435123334,0.0602635815475089,0.1409156782897473,0.1724436608050437,0.09501835834159479,0.9772392647994184,0.9772392647994184,0.0,1.866791943535579,4.847758608203828,1.5785164554901845
20,1.0,put15,monthly,fair,221,0.087605334078727,0.0619603187532167,0.0776070897126899,0.0966338968444735,0.1050669262809742,0.08624465087576184,0.5259014905729229,0.5406033540031129,0.0,3.3284134193716635,5.36323192399256,1.679566764262937
20,1.0,put20,monthly,fair,221,0.0897925453349173,0.0638424559549948,0.0796312448477791,0.0999814420426121,0.1094863715957286,0.08921873391026158,0.5283284202649039,0.5354377346878654,0.0,3.4484183723324784,5.583116063921979,1.7197470549213778
20,1.0,put25,monthly,fair,221,0.0914363107829197,0.0654697505684771,0.0808007455174655,0.1030767898199436,0.1121028614687944,0.09096253098738268,0.5255702495291665,0.5308628197631734,0.0,3.554859871578084,5.753974897997033,1.749890902588911
20,2.0,put15,monthly,fair,221,0.134196782290074,0.0934742506073258,0.1142922555866519,0.1586984795673052,0.1830340515166373,0.13657798717760883,0.8095683973468581,0.8325604849842607,0.0,5.974168457544576,12.418458051231616,2.519183918333583
20,2.0,put20,monthly,fair,221,0.1381607380951475,0.092907823046108,0.1160204502161457,0.1656687206407483,0.195523706058557,0.1407518289304936,0.8053837852278584,0.8315805201601079,0.0,5.912570457971039,13.306750158381687,2.588271437182951
20,2.0,put25,monthly,fair,221,0.138138083188436,0.0929439737740163,0.1167219821003273,0.170665579728094,0.1983591005834104,0.14249978430205926,0.8020537014465992,0.8212533287713758,0.0,5.915044230397923,13.310881485679111,2.5885818575378376
20,3.0,put15,monthly,fair,221,0.1677752294749956,0.106389103680681,0.1343130225127911,0.2141935932758536,0.2526816421962388,0.17254737431779307,0.956834045978382,0.9728416085219018,0.0,7.553666371452505,22.2520279705286,3.102433149201678
20,3.0,put20,monthly,fair,221,0.1682317001926059,0.097310433689606,0.133140956093694,0.2246741758583927,0.2715786660623684,0.17599566982678397,0.959720595168863,0.9740161090895428,0.0,6.407676676460933,22.417115764201764,3.109824763703944
20,3.0,put25,monthly,fair,221,0.1644928557816065,0.0983604684506611,0.1318476097288701,0.2188341897942975,0.275516636178619,0.17578925111562735,0.9651190621284176,0.9716282317492668,0.0,6.529769826539611,21.02502734140466,3.0457135062816936
20,1.0,put15,monthly,marked_up,221,0.0760717741286385,0.05009012700253,0.0650333633477873,0.0851352969847281,0.0935394071215298,0.07448739034889922,0.5335116862526105,0.5526385486712833,0.0,2.6585677685026097,4.334230185938076,1.466544013364632
20,1.0,put20,monthly,marked_up,221,0.0811767092738364,0.0543410543910549,0.0697100263189975,0.091286587094405,0.1017405249962331,0.08007750074806588,0.5317342736249846,0.543007099543033,0.0,2.8815247348777486,4.763581840278442,1.5609998727200478
20,1.0,put25,monthly,marked_up,221,0.0844277883960709,0.0575242886741842,0.0740122708566031,0.0968282672619555,0.1060602921226783,0.08421261178565687,0.5283700316287581,0.5357825798925155,0.0,3.060603117480281,5.058395196719303,1.621049278196598
20,2.0,put15,monthly,marked_up,221,0.1084777603012847,0.0676168044371776,0.0884209581283679,0.1325349884177278,0.1576204772656431,0.11127969545449569,0.8215227121405557,0.8600466256979112,0.0,3.700905710170378,7.844037899108335,2.059753739927264
20,2.0,put20,monthly,marked_up,221,0.1181338594826462,0.0756550286376485,0.0964067130999901,0.1478696043874474,0.1765755551061663,0.12115100577427722,0.8186848909384402,0.8528343795706885,0.0,4.301636111747486,9.335584587143186,2.2338333981870018
20,2.0,put25,monthly,marked_up,221,0.1227723671852223,0.0776463813226016,0.1013439242996501,0.1562439711228618,0.183503403880229,0.12806436609644084,0.823740001622158,0.8402408407687711,0.0,4.463785619805274,10.135246400669558,2.3160190914653227
20,3.0,put15,monthly,marked_up,221,0.1285735868020801,0.0702754601373603,0.0954240677946041,0.1713315744183139,0.2077866373922765,0.131809921427116,0.964703345161975,0.9794849584792548,0.0,3.891104235446656,11.23563535502201,2.4190904554421504
20,3.0,put20,monthly,marked_up,221,0.134635092695863,0.0711710259578894,0.1030591277645431,0.1924057830063872,0.2362195041160699,0.14474111848308227,0.9687209066329578,0.9790044088739506,0.0,3.9552718569361622,12.51481999954682,2.526913542003382
20,3.0,put25,monthly,marked_up,221,0.1414861453574627,0.072406692027771,0.1068094633867133,0.1971868366593232,0.2513024838556907,0.15293937270543323,0.9703967549627704,0.97592593050917,0.0,4.049081773542087,14.106292772950354,2.6466209937776304
20,1.0,none,monthly,none,221,0.0929176774494844,0.0686429185662547,0.0841603393469414,0.1042876269246491,0.1149713971469796,0.0934120665688566,0.5237784310439945,0.5255404791543953,0.0,3.7740714963707647,5.915075659875592,1.7775042885363022
20,2.0,none,monthly,none,221,0.134869904832855,0.0983761741496918,0.1160724435209019,0.1705992296933856,0.1953846858466659,0.14180191335692935,0.7982636649824515,0.8018949144110551,0.0,6.531637492666699,12.5580320070195,2.530360461424097
20,3.0,none,monthly,none,221,0.1478217531999557,0.0969621601931653,0.1218988063546273,0.21573146040941,0.2501191548719057,0.1632773221893286,0.9635670569443148,0.9658944713367096,0.0,6.365506062953546,15.769462001354706,2.7580752850699057
