n,cagr_median,cagr_mean,cagr_p5,tw_p5,tw_median,mdd_p95,p_ruin,window_years,leverage,protection
1000,0.19780202193713003,0.198258867214907,-0.062017309278869136,0.040942440073328736,12.71343890345085,0.999623197742999,0.048,15,3.0,none
1000,0.14700169409355013,0.15224039898343225,-0.07275211092249055,0.026428474453834734,6.930721414766465,0.9996082434718324,0.048,15,3.0,put15
1000,0.16204138088272912,0.16637354996283063,-0.07450314325340397,0.022434597566391174,8.19685477018318,0.9996637341831215,0.048,15,3.0,put20
1000,0.17046528830423913,0.1759197357920527,-0.06422026774080719,0.028612409930018384,9.43470150536604,0.9995697985140736,0.048,15,3.0,put25
1000,0.11469545387447422,0.11281473053124648,0.045149162709752645,2.4186083030280474,8.772524675661778,0.5502513703970312,0.0,20,1.0,none
1000,0.0939632610795621,0.0940394087470031,0.036234024610788604,2.0377788918580246,6.026356672543274,0.5445905918584306,0.0,20,1.0,put15
1000,0.09972619295756047,0.09965182127373512,0.03711465042653681,2.072695459989886,6.694087695570039,0.5502962290064575,0.0,20,1.0,put20
1000,0.10486123733378361,0.10374237671403455,0.03872403114971414,2.137979747755191,7.347756395824531,0.5512433205142092,0.0,20,1.0,put25
1000,0.1661024801149954,0.16473600980709643,0.02180091300378728,1.5393106223298256,21.61402263529233,0.8730978274588334,0.0,20,2.0,none
1000,0.1273271641773953,0.12914507205601186,0.011553745240532366,1.2582859338249481,10.99005467347575,0.8628418187677429,0.0,20,2.0,put15
1000,0.13928765311876923,0.13957906333688225,0.011979673818254844,1.268924632254031,13.57296507932878,0.862948027361387,0.0,20,2.0,put20
1000,0.14781997658493096,0.1471014567164969,0.012424430960089295,1.2801258082019478,15.75709274374288,0.8694533151993853,0.0,20,2.0,put25
1000,0.1837798104295313,0.18112580640070167,-0.05411373423374898,0.011727321081287849,25.186750449090283,0.9995552038805067,0.048,20,3.0,none
1000,0.13081282260113003,0.13615522358918808,-0.04102974549368857,0.04774985486584633,10.416502842522863,0.9992579918030225,0.048,20,3.0,put15
1000,0.14518169998950547,0.1491509701140459,-0.04939394008665224,0.03360825697741862,13.589628463679464,0.9992693989756589,0.048,20,3.0,put20
1000,0.1601480186336881,0.15824204347574547,-0.06059493859179602,0.038488443515742904,15.82643915639185,0.999196216558323,0.048,20,3.0,put25
