leverage,protection,moneyness,rebalance,vrp_mode,window_years,start,end,terminal_wealth,cagr,max_drawdown,ruined,log_terminal
3.0,put25,0.25,monthly,fair,10,1997-01-06,2007-01-08,2.145718071566514,0.07930367179418396,0.9291902154859206,False,0.7634742616576541
3.0,put25,0.25,monthly,fair,10,1997-02-05,2007-02-05,2.0756426541258186,0.07577042583687721,0.9267397383999407,False,0.7302708185632628
3.0,put25,0.25,monthly,fair,10,1997-03-05,2007-03-05,2.0965466506434627,0.07684911334770539,0.9270458162232815,False,0.7402915390593708
3.0,put25,0.25,monthly,fair,10,1997-04-07,2007-04-09,2.296311274807213,0.08664642410226664,0.9314043702657084,False,0.8313040419194039
3.0,put25,0.25,monthly,fair,10,1997-05-05,2007-05-07,2.135110158941784,0.07876911878014381,0.9300655187367548,False,0.7585182420435682
3.0,put25,0.25,monthly,fair,10,1997-06-05,2007-06-05,2.2440452037347227,0.08419641303344916,0.9271080932168838,False,0.8082801317243673
3.0,put25,0.25,monthly,fair,10,1997-07-07,2007-07-09,1.775459700280685,0.05906068802181119,0.9256999901516584,False,0.5740593754699005
3.0,put25,0.25,monthly,fair,10,1997-08-05,2007-08-06,1.712221323441637,0.05524376145394028,0.9237003725556685,False,0.5377915470751438
3.0,put25,0.25,monthly,fair,10,1997-09-05,2007-09-05,1.2878323928682511,0.02562226096711906,0.9259020281183327,False,0.2529604894538754
3.0,put25,0.25,monthly,fair,10,1997-10-06,2007-10-08,1.1545391790888186,0.01446789074149768,0.9317060925225397,False,0.14370128521652153
3.0,put25,0.25,monthly,fair,10,1997-11-05,2007-11-05,1.381581789043202,0.03285553668832675,0.92906090182022,False,0.32322906670034707
3.0,put25,0.25,monthly,fair,10,1997-12-05,2007-12-05,1.2832692913334147,0.025258227644018527,0.9283141502086627,False,0.24941095552931472
3.0,put25,0.25,monthly,fair,10,1998-01-05,2008-01-07,1.0669787614947692,0.006501488868987604,0.9286629485421336,False,0.06483106724313223
3.0,put25,0.25,monthly,fair,10,1998-02-05,2008-02-05,0.8282301374896492,-0.018672470672003172,0.9267397383999407,False,-0.18846421938802854
3.0,put25,0.25,monthly,fair,10,1998-03-05,2008-03-05,0.9834187069167797,-0.0016704046107023363,0.9270458162232815,False,-0.016720301491735545
3.0,put25,0.25,monthly,fair,10,1998-04-06,2008-04-07,0.687671502095709,-0.03673722293815329,0.9323685724084727,False,-0.3744440229570241
3.0,put25,0.25,monthly,fair,10,1998-05-05,2008-05-05,0.7974996032141418,-0.02237028688608078,0.9300655187367548,False,-0.22627394186038743
3.0,put25,0.25,monthly,fair,10,1998-06-05,2008-06-05,0.8522882329355106,-0.01585384663680789,0.9271080932168838,False,-0.1598305077963932
3.0,put25,0.25,monthly,fair,10,1998-07-06,2008-07-07,0.5066502146109225,-0.06570732249572164,0.9255863001165593,False,-0.6799344254997772
3.0,put25,0.25,monthly,fair,10,1998-08-05,2008-08-05,0.8353468199485619,-0.017827541349837328,0.9237003725556685,False,-0.17990828713474663
3.0,put25,0.25,monthly,fair,10,1998-09-08,2008-09-08,0.8541653087431181,-0.01563734288232732,0.9139915711071882,False,-0.15763053396900117
3.0,put25,0.25,monthly,fair,10,1998-10-05,2008-10-06,0.7832164564006513,-0.02412872046854342,0.9279202732526028,False,-0.24434617623906824
3.0,put25,0.25,monthly,fair,10,1998-11-05,2008-11-05,0.6220867849981577,-0.04635240205005775,0.9708646542179575,False,-0.4746756702552548
3.0,put25,0.25,monthly,fair,10,1998-12-07,2008-12-08,0.6429695645055503,-0.0431873344712318,0.9699133856759168,False,-0.44165788944869017
3.0,put25,0.25,monthly,fair,10,1999-01-05,2009-01-05,0.3830557352855265,-0.091485420760402,0.9709298054293816,False,-0.9595747774502152
3.0,put25,0.25,monthly,fair,10,1999-02-05,2009-02-05,0.3391554991027037,-0.1024754970165026,0.9716282317492668,False,-1.0812965773541
3.0,put25,0.25,monthly,fair,10,1999-03-05,2009-03-05,0.56956395209909,-0.05472625511792217,0.9646300823331697,False,-0.5628842072299258
3.0,put25,0.25,monthly,fair,10,1999-04-05,2009-04-06,0.3512123183537262,-0.09930940315625103,0.9708984040600384,False,-1.0463643427972067
3.0,put25,0.25,monthly,fair,10,1999-05-05,2009-05-05,0.3292637566376624,-0.10512784142525688,0.9693189881133855,False,-1.1108961574922858
3.0,put25,0.25,monthly,fair,10,1999-06-07,2009-06-08,0.2757337243696441,-0.12083182821803207,0.9684092808438725,False,-1.2883196457286492
3.0,put25,0.25,monthly,fair,10,1999-07-06,2009-07-06,0.16641301698117186,-0.16414799352890175,0.9701302691005549,False,-1.7932825266042933
