date,total_return_index,close,vix,rf_annual,div_yield
1963-05-17,,70.290001,,0.029100,0.031128
1963-05-20,,69.959999,,0.029200,0.031128
1963-05-21,,70.139999,,0.029200,0.031128
1963-05-22,,70.139999,,0.029400,0.031128
1963-05-23,,70.099998,,0.029500,0.031128
1963-05-24,,70.019997,,0.029600,0.031128
1963-05-27,,69.870003,,0.029700,0.031128
1963-05-28,,70.010002,,0.029700,0.031128
1963-05-29,,70.330002,,0.029900,0.031128
1963-05-31,,70.800003,,0.030000,0.031128
1963-06-03,,70.690002,,0.030300,0.031379
1963-06-04,,70.699997,,0.030200,0.031379
1963-06-05,,70.529999,,0.030000,0.031379
1963-06-06,,70.580002,,0.029900,0.031379
1963-06-07,,70.410004,,0.029800,0.031379
1963-06-10,,69.940002,,0.029700,0.031379
1963-06-11,,70.029999,,0.029800,0.031379
1963-06-12,,70.410004,,0.029900,0.031379
1963-06-13,,70.230003,,0.029800,0.031379
1963-06-14,,70.250000,,0.029900,0.031379
1963-06-17,,69.949997,,0.029800,0.031379
1963-06-18,,70.019997,,0.029800,0.031379
1963-06-19,,70.089996,,0.029800,0.031379
1963-06-20,,70.010002,,0.029800,0.031379
1963-06-21,,70.250000,,0.029800,0.031379
1963-06-24,,70.199997,,0.029800,0.031379
1963-06-25,,70.040001,,0.029900,0.031379
1963-06-26,,69.410004,,0.029900,0.031379
1963-06-27,,69.070000,,0.029900,0.031379
1963-06-28,,69.370003,,0.029900,0.031379
1963-07-01,,68.860001,,0.030000,0.031900
1963-07-02,,69.459999,,0.030200,0.031900
1963-07-03,,69.940002,,0.030400,0.031900
1963-07-05,,70.220001,,0.030700,0.031900
1963-07-08,,69.739998,,0.032100,0.031900
1963-07-09,,70.040001,,0.032200,0.031900
1963-07-10,,69.889999,,0.032300,0.031900
1963-07-11,,69.760002,,0.032400,0.031900
1963-07-12,,69.639999,,0.031800,0.031900
1963-07-15,,69.199997,,0.031700,0.031900
1963-07-16,,69.139999,,0.031700,0.031900
1963-07-17,,68.930000,,0.032400,0.031900
1963-07-18,,68.489998,,0.032000,0.031900
1963-07-19,,68.349998,,0.031800,0.031900
1963-07-22,,67.900002,,0.031700,0.031900
1963-07-23,,67.910004,,0.031500,0.031900
1963-07-24,,68.279999,,0.032200,0.031900
1963-07-25,,68.260002,,0.032100,0.031900
1963-07-26,,68.540001,,0.032000,0.031900
1963-07-29,,68.669998,,0.032400,0.031900
1963-07-30,,69.239998,,0.032500,0.031900
1963-07-31,,69.129997,,0.032700,0.031900
1963-08-01,,69.070000,,0.032500,0.031089
1963-08-02,,69.300003,,0.032100,0.031089
1963-08-05,,69.709999,,0.032100,0.031089
1963-08-06,,70.169998,,0.032200,0.031089
1963-08-07,,69.959999,,0.032800,0.031089
1963-08-08,,70.019997,,0.032900,0.031089
1963-08-09,,70.480003,,0.033000,0.031089
1963-08-12,,70.589996,,0.033000,0.031089
1963-08-13,,70.790001,,0.033100,0.031089
1963-08-14,,71.070000,,0.033200,0.031089
1963-08-15,,71.379997,,0.033300,0.031089
1963-08-16,,71.489998,,0.033400,0.031089
1963-08-19,,71.440002,,0.033300,0.031089
1963-08-20,,71.379997,,0.033300,0.031089
1963-08-21,,71.290001,,0.033700,0.031089
1963-08-22,,71.540001,,0.033700,0.031089
1963-08-23,,71.760002,,0.033800,0.031089
1963-08-26,,71.910004,,0.033800,0.031089
1963-08-27,,71.519997,,0.033900,0.031089
1963-08-28,,72.040001,,0.034000,0.031089
1963-08-29,,72.160004,,0.033900,0.031089
1963-08-30,,72.500000,,0.033900,0.031089
1963-09-03,,72.660004,,0.033800,0.030336
1963-09-04,,72.639999,,0.033700,0.030336
